sent_id,id,token,lemma,pos,synt_tag,head_id,head_tok
708,37,도박사이트,도박사이트,PROPN,nsubj,43,가담시키는
708,38,운영·주식,운영+·주식,NOUN,compound,40,범죄
708,39,리딩방,리딩방,NOUN,compound,40,범죄
708,40,범죄,범죄,NOUN,compound,41,등에
708,41,등에,등+에,ADV,obl,43,가담시키는
708,42,강제로,강제+로,ADV,advcl,43,가담시키는
708,43,가담시키는,가담+시키+는,VERB,acl,44,사례를
708,44,사례를,사례+를,NOUN,obj,45,언급했다
708,45,언급했다,언급+하+었+다,VERB,root,0,.
709,1,해외에,해외+에,ADV,obl,2,있는
709,2,있는,있+는,ADJ,amod,3,교민들은
709,3,교민들은,교민+들+은,NOUN,dislocated,10,된다
709,4,공관,공관,NOUN,compound,5,번호로
709,5,번호로,번호+로,ADV,advcl,7,왔다고
709,6,전화가,전화+가,NOUN,nsubj,7,왔다고
709,7,왔다고,오+았+다+고,VERB,ccomp,10,된다
709,8,안심해서는,안심+하+어서+는,NOUN,conj,7,왔다고
709,9,안,안,ADV,advmod,10,된다
709,10,된다,되+ㄴ다,VERB,root,0,.
710,1,“발신,“발신,NOUN,compound,2,번호를
710,2,번호를,번호+를,NOUN,obj,3,조작하는
710,3,조작하는,조작+하+는,VERB,acl,5,스쿠핑으로
710,4,이른바,이른바,ADV,advmod,5,스쿠핑으로
710,5,스쿠핑으로,스쿠핑+으로,ADV,advcl,7,걸어와
710,6,전화를,전화+를,NOUN,obj,7,걸어와
710,7,걸어와,걸+어+오+아,SCONJ,ccomp,13,구매하게
710,8,현금,현금,NOUN,compound,9,송금
710,9,송금,송금,NOUN,obl,13,구매하게
710,11,고가의,고가+의,NOUN,nmod,12,귀중품을
710,12,귀중품을,귀중품+을,NOUN,obj,13,구매하게
710,13,구매하게,구매+하+게,VERB,acl,15,사기가
710,14,하는,하,AUX,aux,13,구매하게
710,15,사기가,사+기+가,NOUN,nsubj,16,성행하고
710,16,성행하고,성행+하+고,VERB,root,0,.
710,17,있다”고,있,AUX,aux,16,성행하고
710,18,주애틀랜타한국총영사관은,주애틀+랜타한국+총영관+은,NOUN,dislocated,19,설명했다
710,19,설명했다,설명+하+었+다,VERB,conj,16,성행하고
711,1,에서는,에서+는,NOUN,dislocated,7,했다
711,2,총영사관,총영+사관,NOUN,compound,3,실제
711,3,실제,실제,NOUN,compound,4,실무관
711,4,실무관,실무관,NOUN,compound,5,이름을
711,5,이름을,이름+을,NOUN,obj,7,했다
711,6,대기까지,대기+까지,ADV,advcl,7,했다
711,7,했다,하+었+다,VERB,root,0,.
712,1,이,이,DET,det,2,밖에도
712,2,밖에도,밖+에+도,ADV,advcl,57,당부했다
712,3,라스팔마스,라스팔마스,PROPN,compound,49,등
712,5,스페인,스페인,PROPN,conj,3,라스팔마스
712,7,휴스턴,휴스턴,PROPN,conj,3,라스팔마스
712,10,뉴욕,뉴욕,PROPN,conj,3,라스팔마스
712,12,괌,괌,PROPN,conj,3,라스팔마스
712,14,호놀룰루,호놀룰루,PROPN,conj,3,라스팔마스
712,16,샌프란시스코,샌프란시스코,PROPN,conj,3,라스팔마스
712,18,보스턴,보스턴,PROPN,conj,3,라스팔마스
712,20,휴스턴,휴스턴,PROPN,conj,3,라스팔마스
712,22,헝가리,헝가리,PROPN,conj,3,라스팔마스
712,24,덴마크,덴마크,PROPN,conj,3,라스팔마스
712,26,휴스턴,휴스턴,PROPN,conj,3,라스팔마스
712,28,시카고,시카고,PROPN,conj,3,라스팔마스
712,30,광저우,광저우,PROPN,conj,3,라스팔마스
712,32,상하이,상하이,PROPN,conj,3,라스팔마스
712,34,칭다오,칭다오,PROPN,conj,3,라스팔마스
712,36,시안,시안,PROPN,conj,3,라스팔마스
712,38,우한,우한,PROPN,conj,3,라스팔마스
712,40,청뚜,청뚜,PROPN,conj,3,라스팔마스
712,42,첸나이,첸나이,PROPN,conj,3,라스팔마스
712,44,뭄바이,뭄바이,PROPN,conj,3,라스팔마스
712,46,아랍에미리트,아랍에미리트,PROPN,conj,3,라스팔마스
712,48,두바이,두바이,PROPN,conj,3,라스팔마스
712,49,등,등,NOUN,obl,51,곳곳에서
712,50,세계,세계,NOUN,compound,51,곳곳에서
712,51,곳곳에서,곳곳+에서,ADV,advcl,54,공지하며
712,52,관련,관련,NOUN,compound,53,안내문을
712,53,안내문을,안내문+을,NOUN,obj,54,공지하며
712,54,공지하며,공지+하+며,CCONJ,root,0,.
712,55,한인들에게,한인+들+에게,ADV,iobj,57,당부했다
712,56,주의를,주의+를,NOUN,obj,57,당부했다
712,57,당부했다,당부+하+었+다,VERB,conj,54,공지하며
713,1,최근,최근,NOUN,obl,8,제출받은
713,2,국회,국회,NOUN,compound,3,외교통일위원회
713,3,외교통일위원회,외교+통일+위원회,NOUN,compound,4,소속
713,4,소속,소속,NOUN,compound,6,의원이
713,5,이재정,이재정,PROPN,compound,6,의원이
713,6,의원이,의원+이,NOUN,nsubj,8,제출받은
713,7,외교부에서,외교부+에서,ADV,advcl,8,제출받은
713,8,제출받은,제출받+ㄴ,VERB,acl,9,자료에
713,9,자료에,자료+에,ADV,obl,10,따르면
713,10,따르면,따르+면,SCONJ,ccomp,21,달했다
713,11,외교부의,외교부+의,NOUN,nmod,13,상반기
713,12,올해,올해,NOUN,compound,13,상반기
713,13,상반기,상반기,NOUN,compound,14,해외
713,14,해외,해외,NOUN,compound,15,보이스피싱
713,15,보이스피싱,보이스피싱,NOUN,compound,16,범죄
713,16,범죄,범죄,NOUN,compound,18,건수는
713,17,영사조력,영사+조력,NOUN,compound,18,건수는
713,18,건수는,건수+는,NOUN,dislocated,21,달했다
713,19,모두,모두,ADV,advmod,21,달했다
713,20,건에,건+에,ADV,obl,21,달했다
713,21,달했다,달하+었+다,VERB,root,0,.
714,1,이는,이+는,PRON,dislocated,7,수치다
714,2,지난,지나+ㄴ,VERB,acl,4,해
714,3,한,한,NUM,nummod,4,해
714,4,해,해,NOUN,obl,6,웃도는
714,5,건을,건+을,NOUN,obj,6,웃도는
714,6,웃도는,웃+도는,VERB,ccomp,7,수치다
714,7,수치다,수치+이+다,VERB,root,0,.
715,1,지난해에는,지난해+에+는,NOUN,dislocated,3,건이었으나
715,2,중국이,중국+이,PROPN,nsubj,3,건이었으나
715,3,건이었으나,건+이+었+으나,SCONJ,root,0,.
715,4,올해,올해,NOUN,compound,5,상반기에는
715,5,상반기에는,상반기+에+는,NOUN,dislocated,9,많았다
715,6,태국이,태국+이,NOUN,nsubj,9,많았다
715,7,건으로,건+으로,ADV,advcl,9,많았다
715,8,가장,가장,ADV,advmod,9,많았다
715,9,많았다,많+았+다,ADJ,conj,3,건이었으나
716,1,이재정,이재정,PROPN,compound,2,의원은
716,2,의원은,의원+은,NOUN,dislocated,6,확산하고
716,3,“보이스피싱이,“보이스피싱+이,PROPN,nsubj,6,확산하고
716,4,여러,여러,ADJ,amod,5,국가로
716,5,국가로,국가+로,ADV,advcl,6,확산하고
716,6,확산하고,확산+하+고,VERB,acl,8,만큼
716,7,있는,있,AUX,aux,6,확산하고
716,8,만큼,만큼,NOUN,obl,9,피해
716,9,피해,피하+어,SCONJ,ccomp,14,시급하다”며
716,10,예방을,예방+을,NOUN,obj,11,위한
716,11,위한,위하+ㄴ,VERB,acl,13,노력이
716,12,다각적인,다각+적+이+ㄴ,VERB,acl,13,노력이
716,13,노력이,노력+이,NOUN,nsubj,14,시급하다”며
716,14,시급하다”며,시급+하+다+”며,CCONJ,root,0,.
716,15,“정부는,“정부+는,NOUN,dislocated,25,마련해야
716,16,동남아,동남아,NOUN,compound,17,국가들과의
716,17,국가들과의,국가+들+과+의,NOUN,nmod,18,공조를
716,18,공조를,공조+를,NOUN,obj,19,강화하는
716,19,강화하는,강화+하+는,VERB,acl,20,등
716,20,등,등,NOUN,obl,25,마련해야
716,21,적극적이고,적극+적+이+고,CCONJ,amod,24,대책을
716,22,실효성,실효성,NOUN,dep,23,있는
716,23,있는,있+는,ADJ,conj,21,적극적이고
716,24,대책을,대책+을,NOUN,obj,25,마련해야
716,25,마련해야,마련+하+어야,VERB,conj,14,시급하다”며
716,26,한다”고,하,AUX,aux,25,마련해야
716,27,밝혔다,밝히+었+다,VERB,conj,14,시급하다”며
717,1,를,를,PRON,obj,2,되돌아볼
717,2,되돌아볼,되돌+아+보+ㄹ,VERB,ccomp,6,기회였다”고
717,3,수,수,NOUN,obl,2,되돌아볼
717,4,있는,있+는,ADJ,fixed,3,수
717,5,좋은,좋+ㄴ,ADJ,amod,6,기회였다”고
717,6,기회였다”고,기회+이+었+다+를,VERB,root,0,.
717,7,소개했다,소개+하+었+다,VERB,conj,6,기회였다”고
718,1,뉴욕한인회,뉴욕+한인+이+ㄴ회,VERB,acl,2,자문위원회가
718,2,자문위원회가,자문+위원회+가,NOUN,nsubj,3,지난
718,3,지난,지나+ㄴ,VERB,acl,4,일
718,4,일,일,NOUN,obl,9,갖고
718,5,퀸즈,퀸즈,PROPN,nsubj,9,갖고
718,6,베이사이드,베이사이드,PROPN,flat,5,퀸즈
718,7,거성식당에서,거성+식당+에서,ADV,advcl,9,갖고
718,8,모임을,모이+ㅁ+을,NOUN,obj,9,갖고
718,9,갖고,갖+고,CCONJ,root,0,.
718,11,앞으로,앞+으로,ADV,advcl,15,바꾸고
718,12,자문위원회,자문+위원회,NOUN,compound,13,명칭을
718,13,명칭을,명칭+을,NOUN,obj,15,바꾸고
718,14,미래기획위원회로,미래+기획+위원회+로,ADV,advcl,15,바꾸고
718,15,바꾸고,바꾸+고,CCONJ,conj,9,갖고
718,16,차세대,차세대,NOUN,compound,17,위원들을
718,17,위원들을,위원+들+을,NOUN,obj,18,영입해
718,18,영입해,영입+하+어,SCONJ,ccomp,19,뉴욕한인회
718,19,뉴욕한인회,뉴욕+한인+이+ㄴ회,VERB,acl,20,미래성장을
718,20,미래성장을,미래성장+을,NOUN,obj,21,위한
718,21,위한,위하+ㄴ,VERB,acl,22,기구로
718,22,기구로,기구+로,ADV,advcl,23,확대해
718,23,확대해,확대+하+어,VERB,conj,9,갖고
718,24,나가겠다고,나가+겠+다+고,VERB,advcl,23,확대해
718,25,밝혔다,밝히+었+다,VERB,conj,9,갖고
719,1,뉴욕한인회,뉴욕+한인+이+ㄴ회,VERB,acl,2,자문위원회위원장
719,2,자문위원회위원장,자문+위원+회위+원장,NOUN,compound,3,김기철가
719,3,김기철가,김기철+가,PROPN,nsubj,4,지난
719,4,지난,지나+ㄴ,VERB,acl,5,일
719,5,일,일,NOUN,obl,10,갖고
719,6,퀸즈,퀸즈,PROPN,nsubj,10,갖고
719,7,베이사이드,베이사이드,PROPN,flat,6,퀸즈
719,8,거성식당에서,거성+식당+에서,ADV,advcl,10,갖고
719,9,모임을,모이+ㅁ+을,NOUN,obj,10,갖고
719,10,갖고,갖+고,CCONJ,root,0,.
719,12,앞으로,앞+으로,ADV,advcl,16,바꾸고
719,13,자문위원회,자문+위원회,NOUN,compound,14,명칭을
719,14,명칭을,명칭+을,NOUN,obj,16,바꾸고
719,15,미래기획위원회로,미래+기획+위원회+로,ADV,advcl,16,바꾸고
719,16,바꾸고,바꾸+고,CCONJ,conj,10,갖고
719,18,차세대,차세대,NOUN,compound,19,위원들을
719,19,위원들을,위원+들+을,NOUN,obj,20,영입해
719,20,영입해,영입+하+어,SCONJ,ccomp,21,뉴욕한인회
719,21,뉴욕한인회,뉴욕+한인+이+ㄴ회,VERB,acl,22,미래성장을
719,22,미래성장을,미래성장+을,NOUN,obj,23,위한
719,23,위한,위하+ㄴ,VERB,acl,26,기구로
719,24,활동,활동,NOUN,compound,25,지원
719,25,지원,지원,NOUN,compound,26,기구로
719,26,기구로,기구+로,ADV,advcl,27,확대해
719,27,확대해,확대+하+어,VERB,conj,10,갖고
719,28,나가겠다고,나가+겠+다+고,VERB,advcl,27,확대해
719,29,밝혔다,밝히+었+다,VERB,conj,27,확대해
720,1,김기철,김기철,PROPN,compound,2,위원장은
720,2,위원장은,위원장+은,NOUN,dislocated,25,밝혔다
720,3,“단순한,“단순+하+ㄴ,VERB,amod,4,자문
720,4,자문,자문,NOUN,compound,5,역할을
720,5,역할을,역할+을,NOUN,obj,6,벗어나
